of	von
empty	leer
instance	Beispiel
hole	Loch
ride	Reiten
bureau	Büro
conservation	Erhaltung
pair	Paar
ideal	Ideal
specs	Brille
recorded	verzeichnet
don	Don
pieces	Stücke
finished	fertig
parks	Parks
lawyers	Rechtsanwälte
stress	Stress
cream	Sahne
ss	ss
runs	läuft
discover	entdecken
ap	ap
patterns	Muster
hills	Hügel
nm	nm
advisor	Berater
aware	bewusst
shape	gestalten
evolution	Evolution
certificates	Zertifikate
objectives	Ziele
stations	Stationen
suggested	empfohlen
op	op
remains	Überreste
firms	Firmen
euro	Euro
operator	Operator
structures	Strukturen
generic	generisch
encyclopedia	Enzyklopädie
usage	Verwendung
ink	Tinte
mixed	gemischt
census	Volkszählung
wheel	Rad
suppliers	Lieferanten
compact	kompakt
poetry	Poesie
lights	Beleuchtung
tracking	Verfolgung
angel	Engel
preparation	Vorbereitung
attempt	Versuch
receiving	Empfang
matches	Streichhölzer
accordance	Übereinstimmung
width	Breite
engines	Motoren
forget	vergessen
array	Feld
discussed	diskutiert
accurate	genau
climate	Klima
greek	griechisch
instruction	Anweisung
managing	Verwaltung
raw	roh
differences	Unterschiede
explain	erklären
establish	Gründen
expressed	ausgedrückt
extent	Umfang
sharp	Scharf
ben	ben
paragraph	Absatz
kill	töten
mathematics	Mathematik
compensation	Vergütung
export	Export
managers	Manager
modules	Module
conducted	geführt
versions	Versionen
knows	weiß
describe	beschreiben
citizens	Bürger
heritage	Erbe
trouble	Ärger
coach	Trainer
agricultural	landwirtschaftlich
expand	erweitern
audience	Publikum
assigned	zugewiesen
collections	Sammlungen
ages	Ewigkeit
specialist	Spezialist
cook	Koch
affect	beeinflussen
virgin	Jungfrau
experienced	erfahren
investigation	Ermittlung
raised	angehoben
hat	Hut
institution	Institution
directed	gerichtet
affected	betroffen
bike	Fahrrad
totally	total
plate	Teller
expenses	Kosten
indicate	zeigen
blonde	blond
proceedings	Verfahren
favourite	Favorit
characteristics	Eigenschaften
der	der
lose	verlieren
organic	organisch
seek	suchen
experiences	Erfahrungen
albums	Alben
contracts	Verträge
guests	Gäste
hosted	Gastgeber
diseases	Krankheiten
concerning	über
equivalent	äquivalent
chemistry	Chemie
kits	Kits
logic	Logik
prince	Prinz
circle	Kreis
soil	Boden
psychology	Psychologie
wet	nass
circumstances	Umstände
investor	Investor
elementary	elementar
sponsors	Sponsoren
fox	Fuchs
unlimited	unbegrenzt
respond	reagieren
sizes	Größen
plain	einfach
exit	Ausfahrt
arm	Arm
keys	Schlüssel
wave	Welle
holy	heilig
acts	Handlungen
guidance	Beratung
trail	Weg
symbol	Symbol
highway	Autobahn
observed	beobachtete
dean	Dean
setup	Konfiguration
poll	Umfrage
styles	Arten
filled	gefüllt
bond	Bindung
channels	Kanäle
appendix	Blinddarm
chocolate	Schokolade
portion	Portion
scope	Umfang
supplier	Lieferant
cables	Kabel
cotton	Baumwolle
requirement	Anforderung
killed	getötet
border	Rand
ancient	alt
debate	Debatte
representatives	Vertreter
starts	beginnt
pregnancy	Schwangerschaft
attractions	Sehenswürdigkeiten
learned	gelernt
transactions	Transaktionen
explorer	Forscher
historic	historisch
husband	Mann
authorized	autorisiert
crazy	verrückt
upcoming	bevorstehende
concert	Konzert
scores	Partituren
efficiency	Wirksamkeit
comedy	Komödie
adopted	angenommen
efficient	effizient
linear	linear
commitment	Engagement
specialty	Spezialität
bears	Bären
hop	hüpfen
carrier	Träger
constant	Konstante
visa	Visa
mouth	Mund
meter	Meter
linked	verbunden
interviews	Interviews
concepts	Konzepte
gun	Gewehr
reflect	reflektieren
pure	rein
hell	Hölle
fruit	Obst
begins	beginnt
qualified	qualifiziert
reform	Reform
lens	Linse
treated	behandelt
discovery	Entdeckung
draw	zeichnen
classified	klassifiziert
assume	annehmen
alliance	Allianz
confirm	bestätigen
engineer	Ingenieur
consistent	konsistent
replace	ersetzen
clearance	Spielraum
converter	Konverter
organisation	Organisation
babe	Baby
checks	Schecks
reached	erreicht
becoming	Werden
objective	Zielsetzung
indicated	angezeigt
sugar	Zucker
crew	Crew
legs	Beine
stick	Stock
relation	Beziehung
enabled	aktiviert
genre	Genre
volunteer	Freiwillige
rear	Rückseite
democratic	demokratisch
enhance	verbessern
exact	genau
bound	gebunden
parameter	Parameter
processor	Prozessor
node	Knoten
formal	formal
storm	Sturm
micro	Mikro
colleges	Hochschulen
mile	Meile
challenges	Herausforderungen
editors	Redakteure
supreme	höchste
brothers	Brüder
recognition	Anerkennung
ref	ref
estimate	schätzen
kid	Kind
inspection	Inspektion
consumers	Verbraucher
limits	Grenzen
territory	Gebiet
weapons	Bewaffnung
delay	verzögern
pilot	Pilot
contributions	Beiträge
continuous	kontinuierlich
initiative	Initiative
novel	Roman
execution	Ausführung
disability	Behinderung
ultra	Ultra
winner	Gewinner
episode	Folge
potter	Töpfer
dish	Gericht
plays	Theaterstücke
bulletin	Bekanntmachung
ia	ia
modify	ändern
truly	wirklich
universe	Universum
candidate	Kandidat
slot	Slot
outstanding	hervorragend
ha	Ha
planned	geplant
lodge	Hütte
mirror	Spiegel
tournament	Turnier
consideration	Berücksichtigung
sessions	Sitzungen
kernel	Kern
buyers	Käufer
journals	Zeitschriften
gray	grau
catalogue	Katalog
charged	berechnet
broad	breit
und	und
chosen	gewählt
demo	Demo
hate	Hass
terminal	Terminal
publishers	Verlag
nights	Nächte
liquid	Flüssigkeit
rice	Reis
reservation	Reservierung
foods	Lebensmittel
guard	bewachen
saving	Einsparung
empire	Reich
newly	neu
raise	erziehen
illegal	illegal
expansion	Erweiterung
premier	Premier
tomorrow	Morgen
milk	Milch
drama	Theater
visiting	Besuch
contest	Wettbewerb
collected	gesammelt
bands	Bands
suitable	geeignet
absolutely	absolut
audit	Prüfung
chamber	Kammer
guinea	Guinea
findings	Ergebnisse
iso	iso
typical	typisch
sum	Summe
chicken	Hähnchen
temporary	vorübergehend
attend	besuchen
shower	Dusche
sending	Versendung
sufficient	ausreichend
shell	Schale
province	Provinz
catholic	katholisch
governor	Gouverneur
beer	Bier
contribution	Beitrag
formula	Formel
constitution	Verfassung
packaging	Verpackung
reliable	zuverlässig
doubt	Zweifel
earn	verdienen
periods	Perioden
attacks	Anschläge
merchandise	Waren
symptoms	Symptome
memorial	Denkmal
twin	Zwilling
insert	einfügen
gateway	Tor
drawing	Zeichnung
candidates	Kandidaten
ordered	bestellt
biological	biologisch
fighting	Kampf
transition	Übergang
preferences	Vorlieben
spy	Spion
romance	Romantik
instrument	Instrument
split	Teilt
themes	Themen
powers	Befugnisse
heaven	Himmel
bits	Bits
pregnant	schwanger
classification	Einstufung
focused	konzentriert
physician	Arzt
asking	fragen
blocks	Blöcke
lo	lo
spiritual	geistig
diabetes	Diabetes
ml	ml
shift	Verschiebung
sit	sitzen
bodies	Körper
photographs	Fotos
cutting	Schneiden
writers	Schriftsteller
flexible	flexibel
loved	liebte
favourites	Favoriten
mapping	Kartierung
numerous	zahlreich
relatively	verhältnismäßig
represents	repräsentiert
superior	überlegen
preferred	bevorzugt
saved	Gerettet
intellectual	intellektuelle
granted	gewährt
carbon	Kohlenstoff
comfortable	gemütlich
magnetic	magnetisch
interaction	Interaktion
listening	Hören
crisis	Krise
outlook	Ausblick
massive	massiv
bright	hell
formed	gebildet
piano	Klavier
echo	Echo
revolution	Revolution
displays	Displays
plasma	Plasma
earnings	Verdienste
mystery	Geheimnis
landscape	Landschaft
mechanical	mechanisch
journey	Reise
banner	Banner
fig	Feige
counties	Grafschaften
acquisition	Erwerb
recognized	anerkannt
dreams	Träume
notification	Benachrichtigung
kg	kg
teach	lehren
rapid	schnell
pull	ziehen
ut	ut
seminar	Seminar
investments	Investitionen
wheels	Räder
specify	angeben
sensitive	empfindlich
templates	Vorlagen
formats	Formate
holds	hält
router	Router
concrete	Beton
si	si
folder	Mappe
completion	Fertigstellung
pulse	Impuls
technique	Technik
voting	Wählen
courts	Justiz
converted	umgewandelt
metro	Metro
anniversary	Jahrestag
improvements	Verbesserungen
strip	Streifen
specification	Spezifikation
accident	Unfall
nick	Kerbe
accessible	zugänglich
resident	Bewohner
plot	Handlung
typically	typisch
representation	Darstellung
pump	Pumpe
exists	existiert
arrangements	Vereinbarungen
conferences	Konferenzen
consumption	Verbrauch
narrow	eng
threat	Bedrohung
surveys	Umfragen
sitting	Sitzung
consultant	Berater
controller	Regler
committees	Ausschüsse
penis	Penis
castle	Schloss
gardens	Gardens
labels	Etiketten
willing	bereit
bio	bio
acting	Schauspielkunst
heads	Köpfe
exam	Prüfung
residence	Residenz
density	Dichte
hundred	hundert
strange	seltsam
sustainable	nachhaltig
statistical	statistisch
mention	erwähnen
innovation	Innovation
grey	grau
parallel	parallel
operate	arbeiten
bills	Banknoten
stable	stabil
definitions	Definitionen
von	von
doctors	Ärzte
lesson	Lektion
cinema	Kino
elections	Wahlen
reaction	Reaktion
blank	leer
enhanced	verbessert
entitled	berechtigt
severe	schwer
generate	generieren
newspapers	Zeitungen
hospitals	Krankenhäuser
vi	vi
humor	Humor
aged	alt
monitors	Monitore
exception	Ausnahme
duration	Dauer
bulk	Masse
visits	Besuche
capabilities	Fähigkeiten
recommendation	Empfehlung
sin	Sünde
organized	organisiert
ba	ba
para	para
adoption	Annahme
improving	Verbesserung
expensive	teuer
buffalo	Büffel
organisations	Organisationen
plane	Ebene
programmes	Programme
mechanism	Mechanismus
ee	ee
marked	markiert
driven	Gefahren
bottle	Flasche
innovative	innovativ
massage	Massage
conclusion	Fazit
closing	Schließen
thousand	tausend
legend	Legende
villa	Villa
bone	Knochen
columns	Säulen
disorders	Störungen
collaboration	Zusammenarbeit
detection	Entdeckung
inner	innere
formation	Formation
med	med
engineers	Ingenieure
entity	Entität
cruises	Kreuzfahrten
gate	Tor
roman	römisch
duties	Aufgaben
erotic	erotisch
tone	Ton
ethics	Ethik
dragon	Drachen
busy	beschäftigt
captain	Kapitän
brings	bringt
heating	Heizung
leg	Bein
neck	Hals
wing	Flügel
scripts	Skripte
abc	ABC
appointed	ernannt
dealing	Behandlung
commit	verpflichten
rail	Schiene
trips	Reisen
gap	Spalt
sides	Seiten
tube	Tube
corresponding	dazugehörigen
descriptions	Beschreibungen
belt	Gürtel
jacket	Jacke
animation	Animation
oracle	Orakel
er	er
productions	Produktionen
aviation	Luftfahrt
proud	stolz
disaster	Katastrophe
console	Konsole
commands	Befehle
jr	jr
telecommunications	Telekommunikation
instructor	Lehrer
giant	Riese
achieved	erreicht
injuries	Verletzungen
approaches	Ansätze
usual	gewöhnlich
stamps	Briefmarken
angle	Winkel
rob	rauben
designers	Designer
liberty	Freiheit
era	Epoche
convert	Konvertieren
possibility	Möglichkeit
analyst	Analytiker
dangerous	gefährlich
reliability	Zuverlässigkeit
respectively	beziehungsweise
volunteers	Freiwillige
derived	abgeleiteten
pleasure	Vergnügen
honor	Ehre
oriented	orientiert
eagle	Adler
prayer	Gebet
workshops	Workshops
hurricane	Hurrikan
quiet	ruhig
producer	Hersteller
represented	repräsentiert
responsibilities	Verantwortlichkeiten
cheese	Käse
carefully	vorsichtig
productivity	Produktivität
crown	Krone
par	Par
diagnosis	Diagnose
maker	Hersteller
crack	Riss
principle	Prinzip
picks	Picks
gang	Gang
fetish	Fetisch
appearance	Aussehen
smoke	Rauch
filters	Filter
incorporated	inkorporiert
craft	Kunst
fellow	Gefährte
blind	blind
lounge	Salon
mad	wütend
algorithm	Algorithmus
strongly	stark
cafe	Cafe
ken	ken
proteins	Proteine
su	su
familiar	familiär
capable	fähig
admission	Eintritt
shoe	Schuh
elected	gewählt
carrying	Tragen
terrorism	Terrorismus
joy	Freude
editions	Ausgaben
ethnic	ethnisch
parliament	Parlament
actor	Darsteller
finds	Funde
seal	Dichtung
situations	Situationen
fifth	fünfte
citizen	Bürger
vertical	vertikal
corrections	Korrekturen
describes	beschreibt
disabilities	Behinderungen
substance	Substanz
prohibited	verboten
pipe	Rohr
soldiers	Soldaten
guardian	Wächter
lecture	Vorlesung
simulation	Simulation
layout	Layout
initiatives	Initiativen
ill	krank
concentration	Konzentration
lay	legen
interpretation	Deutung
dirty	dreckig
taught	unterrichtet
worker	Arbeitnehmer
optimization	Optimierung
temple	Tempel
substances	Substanzen
prove	beweisen
discovered	entdeckt
wings	Flügel
genetic	genetisch
restrictions	Beschränkungen
thin	dünn
exhibition	Ausstellung
ridge	Grat
modem	Modem
bringing	bringen
sick	krank
evaluate	bewerten
tropical	tropisch
collect	sammeln
vector	Vektor
definitely	bestimmt
turning	Drehung
existence	Existenz
commentary	Kommentar
developments	Entwicklungen
immigration	Einwanderung
destinations	Reiseziele
mutual	gegenseitig
syntax	Syntax
li	li
attribute	Attribut
prison	Gefängnis
skill	Fertigkeit
chairs	Stühle
surrounding	Umgebung
mountains	Berge
popularity	Popularität
inquiry	Anfrage
checked	geprüft
exhibit	Ausstellungsstück
throw	werfen
trend	Trend
cats	Katzen
desert	Wüste
ya	ya
coordinator	Koordinator
mercury	Quecksilber
burning	Verbrennung
escape	Flucht
receiver	Empfänger
progressive	progressiv
boats	Boote
championship	Meisterschaft
arcade	Arkade
impossible	unmöglich
tells	erzählt
obvious	offensichtlich
depression	Depression
graph	Graph
covering	Abdeckung
platinum	Platin
judgment	Beurteilung
talks	Gespräche
filing	Einreichung
foster	fördern
awarded	ausgezeichnet
trials	Versuche
masters	Meister
cartridge	Patrone
explanation	Erläuterung
org	org
fraud	Betrug
electricity	Elektrizität
spectrum	Spektrum
arrival	Ankunft
pottery	Keramik
emphasis	Betonung
awesome	genial
confirmed	Bestätigt
counts	zählt
crash	Absturz
lift	Aufzug
inter	inter
heights	Höhen
shadow	Schatten
expense	Ausgabe
venture	wagen
clinic	Klinik
healing	Heilung
princess	Prinzessin
entering	Eingeben
packet	Paket
studios	Studios
involvement	Beteiligung
dad	Papa
buttons	Tasten
placement	Platzierung
observations	Beobachtungen
winners	Gewinner
roads	Straßen
subsequent	anschließend
yard	Garten
disclosure	Bekanntgabe
establishment	Einrichtung
memories	Erinnerungen
te	te
creates	schafft
faces	Gesichter
tourist	Tourist
murder	Mord
adequate	angemessene
senator	Senator
presentations	Präsentationen
digest	verdauen
dust	Staub
wiki	Wiki
replaced	ersetzt
radar	Radar
losses	Verluste
combat	Kampf
reducing	Reduzierung
stopped	gestoppt
occupation	Besetzung
closely	eng
radiation	Strahlung
kings	Könige
shooting	Schießen
ear	Ohr
flags	Flaggen
baker	Bäcker
conservative	konservativ
shock	Schock
effectiveness	Wirksamkeit
tie	Krawatte
roof	Dach
demonstrate	zeigen
atmosphere	Atmosphäre
kiss	Kuss
beast	Tier
ra	ra
operated	betrieben
experiment	Experiment
targets	Ziele
purchases	Einkäufe
federation	Föderation
pizza	Pizza
invited	eingeladen
assignment	Zuordnung
mod	modern
queries	Abfragen
absence	Abwesenheit
vendors	Anbieter
yoga	Yoga
serves	dient
surprise	Überraschung
lamp	Lampe
jokes	Witze
counseling	Beratung
palace	Palast
satisfied	zufrieden
wins	Gewinnt
warehouse	Warenhaus
supposed	soll
ordinary	gewöhnliche
ghost	Geist
violation	Verstoß
boss	Boss
pride	Stolz
expectations	Erwartungen
independence	Unabhängigkeit
knowing	wissend
reporter	Reporter
metabolism	Stoffwechsel
champion	Champion
personally	persönlich
plenty	reichlich
solo	Solo
throat	Kehle
wealth	Reichtum
vacuum	Vakuum
dancing	Tanzen
recognize	erkenne
writes	schreibt
plaza	Piazza
quest	Suche
publish	veröffentlichen
screening	Abschirmung
trans	trans
pioneer	Pionier
forgotten	Vergessene
acrobat	Akrobat
plates	Platten
essays	Aufsätze
behaviour	Verhalten
telling	erzählen
fairly	ziemlich
intelligent	intelligent
modes	Modi
obligation	Verpflichtung
harbor	Hafen
traveler	Reisende
segment	Segment
enemy	Feind
puzzle	Puzzle
wells	Brunnen
restricted	beschränkt
republican	Republikaner
secrets	Geheimnisse
syndrome	Syndrom
attendance	Teilnahme
penalty	Elfmeter
drum	Trommel
enables	ermöglicht
builder	Baumeister
vista	Aussicht
flood	Flut
ease	Leichtigkeit
arguments	Argumente
arena	Arena
adventures	Abenteuer
pupils	Schüler
announcement	Ankündigung
outcome	Ergebnis
appreciate	schätzen
expanded	ergänzt
grown	gewachsen
lovely	schön
centres	Zentren
clause	Klausel
smile	Lächeln
lands	Länder
troops	Truppen
armed	bewaffnet
pine	Kiefer
cooling	Kühlung
gulf	Golf
trucks	LKW
mechanisms	Mechanismen
divorce	Scheidung
tradition	Tradition
pills	Pillen
tiger	Tiger
folks	Leute
sensor	Sensor
exposed	ausgesetzt
hunt	Jagd
angels	Engel
deputy	Stellvertreter
thai	thailändisch
emissions	Emissionen
physicians	Ärzte
complaint	Beschwerde
scenes	Szenen
experiments	Experimente
boost	Auftrieb
governance	Führung
mill	Mühle
founded	Gegründet
chronic	chronisch
den	Höhle
finger	Finger
keeps	hält
pound	Pfund
locate	Lokalisieren
pl	pl
trained	trainiert
implementing	Umsetzung
bread	Brot
motors	Motoren
tough	zäh
incident	Vorfall
dynamics	Dynamik
lie	Lüge
conversation	Konversation
decrease	verringern
worship	Anbetung
capability	Fähigkeit
ak	ak
precision	Präzision
damages	Schadenersatz
reserves	Reserve
solve	lösen
minority	Minderheit
diverse	vielfältig
ingredients	Zutaten
ah	Ah
tones	Töne
rehabilitation	Rehabilitation
sight	Sicht
clay	Lehm
weak	schwach
divided	geteilt
reception	Rezeption
wise	weise
odds	Chancen
seminars	Seminare
consequences	Folgen
makers	Entscheidungsträger
geography	Erdkunde
integrity	Integrität
legacy	Erbe
pleased	zufrieden
danger	Achtung
vitamin	Vitamin
processed	verarbeitet
phrase	Phrase
raising	erziehen
implications	Auswirkungen
functionality	Funktionalität
paradise	Paradies
hybrid	hybrid
reads	liest
emotional	emotional
glory	Ruhm
ja	ja
geographic	geographisch
exceed	überschreiten
rod	Stange
silk	Seide
babies	Babys
bi	Bi
romantic	romantisch
revealed	aufgedeckt
specialists	Spezialisten
generator	Generator
suspension	Suspension
sad	traurig
correction	Korrektur
wolf	Wolf
slowly	langsam
supplement	Ergänzung
portions	Teile
infant	Säugling
sectors	Branchen
fluid	Flüssigkeit
grounds	Begründung
meal	Mahlzeit
ta	ta
machinery	Maschinen
equation	Gleichung
baskets	Körbe
probability	Wahrscheinlichkeit
dimension	Abmessungen
studied	studierte
profits	Gewinne
devil	Teufel
grass	Gras
illustrated	illustriert
cherry	Kirsche
continental	kontinental
achievement	Leistung
limitations	Einschränkungen
funeral	Beerdigung
chapters	Kapitel
passenger	Passagier
convenient	praktisch
mars	Mars
sized	Größe
egg	Ei
signals	Signale
orientation	Orientierung
theft	Diebstahl
childhood	Kindheit
symbols	Symbole
lat	lat
meta	Meta
analog	Analog
talent	Talent
dated	datiert
wisdom	Weisheit
boundary	Grenze
elite	Elite
gi	gi
believes	glaubt
poems	Gedichte
jurisdiction	Zuständigkeit
robot	Roboter
displaying	Anzeige
witness	Zeuge
equipped	ausgestattet
stages	Stufen
sur	sur
acquired	erworben
assess	beurteilen
wash	waschen
entrance	Eingang
declaration	Erklärung
losing	verlieren
attempts	Versuche
noble	edel
automation	Automatisierung
impacts	Auswirkungen
rev	Umdrehung
advantages	Vorteile
knight	Ritter
aims	Ziele
extensions	Erweiterungen
appeals	Einsprüche
illness	Krankheit
ho	ho
alternatives	Alternativen
sh	Sch
soap	Seife
jam	Marmelade
unusual	ungewöhnlich
answered	antwortete
destruction	Zerstörung
migration	Migration
disorder	Störung
conventional	konventionell
wearing	tragen
axis	Achse
sought	gesucht
genes	Gene
median	Median
scanner	Scanner
herein	hierin
animated	lebhaft
adjustment	Einstellung
hero	Held
treatments	Behandlungen
attitude	Haltung
carpet	Teppich
lenses	Linsen
attended	besucht
difficulty	Schwierigkeit
punk	Punk
coalition	Koalition
enrollment	Einschreibung
duke	Herzog
pace	Tempo
producers	Produzenten
arc	Bogen
interfaces	Schnittstellen
atlas	Atlas
observation	Überwachung
torture	Folter
deleted	gelöscht
coat	Mantel
restoration	Wiederherstellung
convenience	Bequemlichkeit
returning	Rückkehr
opposition	Opposition
container	Container
defendant	Beklagte
supervisor	Supervisor
corps	Korps
actors	Schauspieler
liver	Leber
liable	haftbar
petition	Petition
antenna	Antenne
picked	gepflückt
belief	Glauben
killing	Tötung
shoulder	Schulter
decor	Dekor
ion	Ion
diameter	Durchmesser
podcast	Podcast
interactions	Wechselwirkungen
singer	Sänger
herald	Herold
aging	Altern
intervention	Intervention
plugin	Plugin
attraction	Attraktion
diving	Tauchen
modification	Änderung
suppose	annehmen
reed	Schilf
involve	betreffen
moderate	mäßig
mice	Mäuse
understood	verstanden
rapidly	schnell
ban	Verbot
assurance	Sicherheit
happening	Ereignis
vast	weit
mills	Mühlen
outline	Gliederung
receives	erhält
jeans	Jeans
compilation	Zusammenstellung
odd	ungerade
sigma	sigma
gr	GR
attractive	attraktiv
occasion	Gelegenheit
recordings	Aufnahmen
victim	Opfer
demands	Forderungen
careful	Vorsichtig
beam	Strahl
gardening	Gartenarbeit
obligations	Verbindlichkeiten
arrive	ankommen
orchestra	Orchester
licence	Lizenz
adjustable	einstellbar
allocation	Zuweisung
essay	Aufsatz
demonstrated	gezeigt
dialogue	Dialog
camps	Lager
declared	erklärt
trace	Spur
shut	geschlossen
packs	Packungen
ge	ge
installing	Installation
switches	Schalter
voluntary	freiwillig
thou	du
greatly	sehr
ng	ng
commonly	häufig
pe	pe
photographer	Fotograf
cry	Schrei
quantum	Quant
constructed	konstruiert
additions	Ergänzungen
requiring	erforderlich
arrow	Pfeil
engagement	Engagement
rough	Rau
weird	seltsam
lion	Löwe
weddings	Hochzeiten
oxygen	Sauerstoff
canyon	Schlucht
meters	Meter
merely	nur
calendars	Kalender
arrangement	Anordnung
conclusions	Schlussfolgerungen
bibliography	Literaturverzeichnis
pointer	Zeiger
compatibility	Kompatibilität
stretch	strecken
permits	Genehmigungen
cooperative	Kooperative
feeding	Ernährung
township	Gemeinde
rankings	Ranglisten
measuring	Messung
strap	Gurt
crowd	Menge
transfers	Transfers
olympic	olympisch
transformation	Transformation
dir	dir
customs	Zoll
administrators	Administratoren
personality	Persönlichkeit
hook	Haken
roulette	Roulette
decline	Ablehnen
cord	Kabel
cloud	Wolke
facilitate	erleichtern
val	val
explains	erklärt
proceed	Vorgehen
feelings	Gefühle
knife	Messer
adopt	adoptieren
denied	verweigert
donation	Spende
outer	äußere
crop	Ernte
rivers	Flüsse
nodes	Knoten
cited	zitiert
hub	Nabe
targeted	gezielt
realized	erkannte
founder	Gründer
decade	Dekade
dispute	Streit
tired	müde
adverse	negativ
excerpt	Auszug
discharge	entladen
drinks	Getränke
ace	As
voices	Stimmen
climbing	Kletterei
tons	Tonnen
perfume	Parfüm
hazardous	gefährlich
restore	wiederherstellen
stack	Stapel
methodology	Methodik
reputation	Ruf
democrats	Demokraten
hang	aufhängen
curve	Kurve
creator	Schöpfer
amber	Bernstein
museums	Museen
coding	Verschlüsselung
tracker	Tracker
variation	Variation
passage	Passage
transferred	übertragen
trunk	Kofferraum
photograph	Foto
waves	Wellen
camel	Kamel
distributor	Verteiler
chi	chi
gathering	Versammlung
projection	Projektion
mathematical	mathematisch
logical	logisch
sauce	Soße
fame	Ruhm
specialized	spezialisiert
corporations	Unternehmen
criticism	Kritik
automobile	Automobil
judges	Jury
remarks	Bemerkungen
detected	detektiert
paintings	Gemälde
walked	ging
arising	entstehen
populations	Populationen
afraid	ängstlich
acoustic	akustisch
cassette	Kassette
indicator	Indikator
jpg	jpg
mistake	Fehler
eliminate	beseitigen
mineral	Mineral
ruby	Rubin
beads	Perlen
fortune	Vermögen
canvas	Segeltuch
threshold	Schwelle
parish	Gemeinde
screens	Bildschirme
cemetery	Friedhof
stadium	Stadion
exploration	Erkundung
mins	min
stem	Stengel
astronomy	Astronomie
contests	Wettbewerbe
flu	Grippe
costume	Kostüm
bikes	Fahrräder
bishop	Bischof
pulled	zog
corn	Mais
compression	Kompression
establishing	Festlegung
farmer	Farmer
tin	Zinn
slave	Sklave
instantly	sofort
coaching	Coaching
examined	geprüft
encoding	Codierung
submissions	Einreichungen
heroes	Helden
painted	gemalt
portrait	Porträt
terrorist	Terrorist
ethical	ethisch
carriers	Träger
mobility	Mobilität
struggle	Kampf
schemes	Regelungen
suffering	Leiden
neutral	neutral
fisher	Fischer
rat	Ratte
spears	Speere
joining	Beitritt
heading	Überschrift
artificial	künstlich
bearing	Lager
spectacular	spektakulär
worlds	Welten
guilty	schuldig
activation	Aktivierung
haven	Oase
tablet	Tablette
jury	Jury
dos	DOS
tail	Schwanz
charm	Charme
violent	heftig
potentially	möglicherweise
ranch	Ranch
constraints	Einschränkungen
crossing	Kreuzung
inclusive	inklusive
cottage	Hütte
drunk	betrunken
considerable	beträchtlich
crimes	Verbrechen
resolved	aufgelöst
byte	Byte
nose	Nase
branches	Geäst
alien	Ausländer
processors	Prozessoren
broke	Pleite
complexity	Komplexität
constantly	ständig
resolve	Entschlossenheit
territories	Gebiete
thesis	These
discs	Scheiben
frequent	häufig
ceiling	Decke
pixels	Pixel
gen	gen
diamonds	Diamanten
fleet	Flotte
bunch	Bündel
theoretical	theoretisch
referral	Verweisung
quit	Verlassen
protocols	Protokolle
lung	Lunge
substitute	Ersatz
brilliant	brillant
ti	ti
gel	Gel
spoken	gesprochen
omega	Omega
evaluated	bewertet
stayed	blieb
sees	sieht
termination	Beendigung
watched	schaute
households	Haushalte
redeem	einlösen
grain	Korn
regime	Regime
bull	Stier
architectural	architektonisch
differ	abweichen
movements	Bewegungen
repairs	Reparaturen
breath	Atem
amenities	Komfort
virtually	virtuell
mart	Markt
candle	Kerze
hanging	hängend
colored	farbig
tale	Geschichte
formerly	früher
projector	Beamer
situated	gelegen
seeks	sucht
strictly	streng
psychological	psychologisch
vitamins	Vitamine
elegant	elegant
gains	Gewinne
renewal	Erneuerung
genealogy	Genealogie
deemed	als
scoring	Wertung
expenditure	Ausgaben
critics	Kritik
algorithms	Algorithmen
hacker	Hacker
salon	Salon
turbo	Turbo
cure	heilen
ni	ni
thinks	denkt
suggestion	Vorschlag
soldier	Soldat
bomb	Bombe
harm	Schaden
interval	Intervall
mirrors	Spiegel
investigate	untersuchen
thy	deine
panels	Platten
repeated	wiederholt
assault	Angriff
deer	Hirsch
tongue	Zunge
bowling	Bowling
tri	tri
monkey	Affe
proportion	Anteil
skirt	Rock
analyses	Analysen
drawings	Zeichnungen
significance	Bedeutung
scenario	Szenario
ye	Ihr
arabic	Arabisch
gauge	Spur
protecting	Schutz
faced	konfrontiert
solving	Auflösung
produces	produziert
intensive	intensiv
chains	Ketten
sixth	sechste
engage	engagieren
switching	Schaltung
correspondence	Korrespondenz
imports	Importe
supervision	Aufsicht
expenditures	Ausgaben
separation	Trennung
testimony	Zeugnis
suspect	vermuten
mandatory	verpflichtend
boundaries	Grenzen
celebration	Feier
filtering	Filter
spouse	Ehepartner
exotic	exotisch
viewer	Zuschauer
reaching	reichend
laugh	Lachen
surgical	chirurgisch
destroy	zerstören
citation	Zitat
yo	yo
premises	Lokal
proved	bewährt
offensive	beleidigend
imperial	Kaiserliche
dozen	Dutzend
deployment	Einsatz
cloth	Stoff
lotus	Lotus
salmon	Lachs
cargo	Ladung
directive	Direktive
mate	Kamerad
butter	Butter
pepper	Pfeffer
weapon	Waffe
burden	Belastung
tapes	Bänder
zones	Zonen
isle	Insel
slim	schlank
maple	Ahorn
grocery	Lebensmittelgeschäft
governing	Regierungs
depot	Depot
alt	alt
pie	Kuchen
blend	Mischung
emission	Emission
apparent	ersichtlich
instructional	Lehr
permissions	Berechtigungen
toilet	Toilette
ranked	Platz
routes	Routen
mounting	Montage
tied	gebunden
balanced	ausgewogen
delayed	verspätet
dale	Tal
calculation	Berechnung
villas	Villen
occasions	Gelegenheiten
equations	Gleichungen
oils	Öl
sept	September
